Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
198,1.375,-0.6875,0.4375,-0.1777344,0.06005859,0.9741211,0.06835938,-0.1137695,-0.2163086
199,1.375,-0.625,0.4375,-0.1855469,0.06396484,0.9858398,0.06835938,-0.1166992,-0.2177734
201,1.3125,-0.1875,0.5,-0.1777344,0.06396484,0.9897461,0.06835938,-0.1166992,-0.2177734
202,1.125,-0.1875,0.3125,-0.1816406,0.06396484,0.9897461,0.06689453,-0.1152344,-0.2148438
204,0.75,-0.0625,0.0625,-0.1816406,0.07568359,0.9858398,0.06689453,-0.1152344,-0.2163086
205,1,-0.125,0.1875,-0.1894531,0.05224609,0.9819336,0.06689453,-0.1152344,-0.2163086
207,1.1875,-0.3125,0.375,-0.2006836,0.04833984,0.9975586,0.06835938,-0.1137695,-0.2177734
208,1.4375,-0.5,0.5625,-0.1928711,0.05224609,0.9858398,0.06835938,-0.1152344,-0.2148438
210,1.8125,-1.0625,0.9375,-0.2045898,0.04443359,0.9897461,0.06835938,-0.1152344,-0.2148438
212,1.875,-1.5625,0.8125,-0.1928711,0.06005859,0.9858398,0.06689453,-0.1152344,-0.2163086
214,2.4375,-1.8125,1.1875,-0.2006836,0.04833984,1.008789,0.06689453,-0.1166992,-0.2148438
215,1.875,-1.5,0.8125,-0.1699219,0.07177734,0.9819336,0.06689453,-0.1166992,-0.2148438
217,2,-1,0.8125,-0.1894531,0.06396484,0.9936523,0.06689453,-0.1166992,-0.2163086
218,1.6875,-1.25,0.625,-0.1855469,0.06396484,0.9936523,0.06689453,-0.1181641,-0.2148438
220,1.9375,-1.1875,0.5,-0.1894531,0.05615234,0.9858398,0.06689453,-0.1181641,-0.2148438
221,1.625,-0.875,0.5,-0.1777344,0.06396484,0.9780273,0.06835938,-0.1152344,-0.2133789
223,1.75,-0.75,0.75,-0.1894531,0.05224609,1.008789,0.06982422,-0.1152344,-0.2177734
224,2.3125,-0.9375,0.8125,-0.1894531,0.05615234,0.9858398,0.06982422,-0.1152344,-0.2177734
226,2.25,-1.125,0.875,-0.1894531,0.06005859,0.9780273,0.06835938,-0.1166992,-0.2163086
227,2.3125,-0.875,0.875,-0.1738281,0.05615234,0.9897461,0.06835938,-0.1166992,-0.2192383
229,2.25,-1.0625,0.9375,-0.1928711,0.05615234,0.9975586,0.06835938,-0.1166992,-0.2192383
230,2.3125,-1.0625,1.1875,-0.1928711,0.06396484,0.9897461,0.06835938,-0.1166992,-0.2163086
232,2.25,-1.0625,1,-0.1816406,0.06787109,0.9819336,0.06689453,-0.1166992,-0.2163086
233,1.9375,-1,0.8125,-0.1894531,0.06787109,0.9819336,0.06689453,-0.1166992,-0.2163086
235,2.0625,-1.25,0.75,-0.1894531,0.06787109,0.9858398,0.06835938,-0.1152344,-0.2148438
236,1.6875,-0.8125,0.625,-0.1777344,0.06396484,0.9936523,0.06689453,-0.1181641,-0.2163086
238,1.6875,-0.9375,0.5,-0.1894531,0.06787109,0.9819336,0.06689453,-0.1181641,-0.2163086
239,1.5625,-1,0.5625,-0.1928711,0.07177734,0.9819336,0.06982422,-0.1152344,-0.2177734
241,1.1875,-1,0.6875,-0.1816406,0.07177734,0.9897461,0.06982422,-0.1166992,-0.2148438
242,1.0625,-0.5,0.5625,-0.1855469,0.07568359,0.9819336,0.06982422,-0.1166992,-0.2148438
244,0.6875,-0.5625,0.3125,-0.1855469,0.07568359,0.9858398,0.06835938,-0.1152344,-0.2163086
245,0.4375,-0.375,0.1875,-0.1816406,0.07177734,0.9897461,0.06689453,-0.1166992,-0.2148438
247,0.125,-0.25,0.1875,-0.1816406,0.07568359,0.9858398,0.06689453,-0.1166992,-0.2148438
248,0.0625,-0.3125,0.1875,-0.1855469,0.06396484,0.9819336,0.06689453,-0.1166992,-0.2148438
250,-0.0625,-0.3125,0,-0.1777344,0.07177734,0.9858398,0.06835938,-0.1166992,-0.2192383
251,0,-0.25,0.125,-0.1855469,0.07568359,0.9819336,0.06835938,-0.1166992,-0.2192383
253,-0.25,-0.0625,-0.25,-0.1816406,0.08349609,0.9819336,0.06591797,-0.1166992,-0.2163086
254,-0.5,-0.25,-0.375,-0.1855469,0.07958984,0.9858398,0.06689453,-0.1152344,-0.2163086
256,-1.0625,-0.25,-0.5,-0.1738281,0.08349609,0.9780273,0.06689453,-0.1152344,-0.2163086
257,-1.5,0.1875,-0.8125,-0.1699219,0.07177734,0.9741211,0.06835938,-0.1181641,-0.2148438
259,-2,0.4375,-1,-0.1738281,0.07958984,0.9667969,0.06689453,-0.1166992,-0.2177734
260,-1.9375,0.875,-1.25,-0.1816406,0.06787109,0.9897461,0.06689453,-0.1166992,-0.2177734
262,-2.25,0.9375,-1.0625,-0.1816406,0.06396484,0.9819336,0.06835938,-0.1152344,-0.2177734
263,-2.1875,1.25,-1.125,-0.1855469,0.06005859,0.9819336,0.06835938,-0.1137695,-0.2163086
