1189814.37714, 3,  -0.365,  3.519,-13.175
1189814.39728, 3,  -0.373,  3.474,-12.448
1189814.41742, 3,  -0.424,  3.508,-11.884
1189814.43756, 3,  -0.278,  3.601,-11.994
1189814.45770, 3,  -0.070,  3.548,-12.275
1189814.47785, 3,   0.062,  3.417,-12.369
1189814.49799, 3,   0.033,  3.356,-12.272
1189814.51813, 3,  -0.066,  3.545,-12.324
1189814.53827, 3,  -0.195,  3.614,-12.333
1189814.55841, 3,  -0.327,  3.609,-12.299
1189814.57855, 3,  -0.169,  3.611,-12.322
1189814.59870, 3,  -0.278,  3.686,-12.324
1189814.61884, 3,  -0.313,  3.598,-12.327
1189814.63898, 3,   0.040,  3.489,-12.119
1189814.65912, 3,  -0.144,  3.542,-12.010
1189814.67926, 3,  -0.444,  3.524,-12.297
1189814.69940, 3,  -0.174,  3.448,-12.436
1189814.71955, 3,  -0.095,  3.353,-12.175
1189814.73969, 3,  -0.205,  3.360,-12.110
1189814.75983, 3,  -0.076,  3.349,-12.108
1189814.77997, 3,   0.004,  3.322,-12.059
1189814.80011, 3,   0.517,  3.715,-12.500, 4,   0.114,  0.115,  0.127, 82,  -0.082, -0.119,  0.089, 83,   0.072,  2.673, -9.435
1189814.82025, 3,   0.387,  3.957,-12.964, 4,   0.122,  0.105,  0.096, 5,   3.883,-40.738, 39.627, 82,   0.529,  0.416, -0.487, 83,   0.147,  2.674, -9.434
1189814.84040, 3,   0.128,  3.659,-12.892, 4,   0.086,  0.025, -0.011, 5,   3.177,-40.286, 39.456, 82,   0.063,  0.496, -0.778, 83,   0.155,  2.680, -9.432
1189814.86054, 3,   0.087,  3.524,-12.577, 4,  -0.016,  0.003, -0.078, 5,   3.915,-40.286, 38.554, 82,  -0.106,  0.044, -0.494, 83,   0.143,  2.677, -9.433
1189814.88068, 3,  -0.202,  3.649,-12.244, 4,  -0.135,  0.040, -0.075, 5,   2.852,-40.286, 39.766, 82,  -0.094, -0.016, -0.154, 83,   0.140,  2.698, -9.427
1189814.90082, 3,  -0.152,  3.652,-12.260, 4,  -0.146,  0.034, -0.061, 5,   2.470,-40.376, 40.829, 82,  -0.434,  0.108,  0.144, 83,   0.116,  2.735, -9.417
1189814.92096, 3,  -0.018,  3.488,-12.139, 4,  -0.058,  0.002, -0.063, 5,   3.050,-40.459, 40.749, 82,  -0.247,  0.046,  0.031, 83,   0.098,  2.750, -9.413
1189814.94110, 3,  -0.112,  3.360,-12.029, 4,   0.004, -0.007, -0.077, 5,   3.539,-40.363, 40.273, 82,  -0.108, -0.134,  0.193, 83,   0.087,  2.746, -9.414
1189814.96124, 3,   0.337,  3.597,-12.067, 4,  -0.003,  0.017, -0.068, 5,   3.722,-40.286, 39.905, 82,  -0.230, -0.229,  0.266, 83,   0.074,  2.739, -9.416
1189814.98139, 3,   0.527,  3.420,-11.906, 4,  -0.014,  0.067, -0.049, 5,   3.569,-40.286, 39.905, 82,   0.296,  0.063,  0.191, 83,   0.097,  2.747, -9.414
1189815.00153, 3,   0.506,  3.136,-11.402, 4,   0.003,  0.093, -0.084, 5,   3.137,-40.071, 39.905, 82,   0.378, -0.183,  0.367, 83,   0.127,  2.744, -9.414
1189815.02167, 3,   0.778,  3.119,-11.207, 4,   0.040,  0.152, -0.122, 5,   4.353,-40.573, 40.317, 82,   0.291, -0.436,  0.866, 83,   0.161,  2.730, -9.418
1189815.04181, 3,   0.658,  3.062,-10.940, 4,   0.133,  0.254, -0.153, 5,   5.298,-40.977, 40.579, 82,   0.530, -0.368,  0.965, 83,   0.219,  2.705, -9.424
1189815.06195, 3,   0.120,  2.681,-10.619, 4,   0.306,  0.309, -0.187, 5,   4.727,-39.954, 39.803, 82,   0.287, -0.349,  1.193, 83,   0.279,  2.654, -9.437
1189815.08209, 3,  -0.962,  2.621,-10.810, 4,   0.490,  0.352, -0.196, 5,   3.873,-39.981, 40.163, 82,  -0.338, -0.613,  1.478, 83,   0.325,  2.558, -9.462
1189815.10224, 3,  -0.085,  2.825,-11.421, 4,   0.647,  0.438, -0.091, 5,   3.569,-40.286, 40.579, 82,  -1.458, -0.483,  1.227, 83,   0.343,  2.444, -9.491
1189815.12238, 3,   0.287,  3.069,-12.043, 4,   0.738,  0.446,  0.039, 5,   4.059,-39.795, 41.058, 82,  -0.558, -0.085,  0.610, 83,   0.413,  2.306, -9.523
1189815.14252, 3,   0.390,  2.927,-12.065, 4,   0.768,  0.312, -0.001, 5,   3.415,-39.233, 42.079, 82,  -0.300,  0.330,  0.039, 83,   0.472,  2.168, -9.552
