                                                            
                                                            
                                                            
1+186+381   3   -5   4   -12                                                
1+186+381   3   -4   5   -12                                                
1+186+381   3   -4   4   -12                                                
1+186+381   3   -5   4   -11                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -10                                                
1+186+381   3   -5   4   -11                                                
1+186+381   3   -5   4   -11                                                
1+186+381   3   -5   4   -11                                                
1+186+381   3   -5   4   -11                                                
1+186+381   3   -5   4   -11                                                
1+186+381   3   -5   4   -11   4   -0.106   -0.076   -0.020   82   0.044   -0.060   0.061   83   -3.858   3.385   -8.356            
1+186+381   3   -5   4   -11   4   -0.182   -0.193   -0.052                                    
1+186+381   3   -5   4   -10   4   -0.238   -0.263   -0.089   82   0.380   -0.371   0.702   83   -3.946   3.415   -8.303            
1+186+381   3   -5   4   -10   4   -0.246   -0.199   -0.056                                    
1+186+381   3   -3.896   3.150   -7.906   4   -0.192   -0.073   0.026   5   29.893   -37.144   26.370   82   0.060   -0.283   0.385   83   -3.956   3   -8
1+186+382   3   -3.781   3.379   -8.078   4   -0.112   0.069   0.063   5   29.417   -36.668   25.594   82   0.152   -0.077   0.214   83   -4   3   -8
1+186+382   3   -4.265   3.233   -8.280   4   -0.075   0.103   0.083   5   29.529   -36.893   25.630   82   -0.328   -0.222   0.011   83   -4   3   -8
1+186+382   3   -3.856   3.287   -8.127   4   -0.049   0.049   0.083   5   30.432   -38.458   25.954   82   0.071   -0.178   0.164   83   -4   3   -8
1+186+382   3   -3.786   3.212   -8.044   4   -0.053   0.005   0.116   5   30.283   -36.494   26.100   82   0.130   -0.260   0.249   83   -4   3   -8
1+186+382   3   -4.505   3.361   -8.974   4   -0.018   0.054   0.118   5   29.907   -36.870   25.960   82   -0.593   -0.103   -0.676   83   -4   3   -8
1+186+382   3   -3.852   3.662   -8.470   4   -0.046   0.064   0.171   5   28.371   -38.406   25.227   82   0.036   0.163   -0.175   83   -4   3   -8
1+186+382   3   -3.961   3.697   -8.582   4   -0.162   -0.033   0.165   5   29.936   -36.841   25.089   82   -0.073   0.162   -0.302   83   -4   4   -8
1+186+382   3   -4.618   3.726   -8.916   4   -0.158   -0.122   -0.015   5   29.681   -37.241   25.195   82   -0.688   0.175   -0.663   83   -4   4   -8
1+186+382   3   -4.125   3.928   -8.743   4   -0.204   -0.202   -0.115   5   28.888   -38.742   25.436   82   -0.157   0.343   -0.523   83   -4   4   -8
