1111519.34005, 3,  -0.187,  0.078,  6.732
1111519.40718, 3,  -0.135,  0.106,  6.773
1111519.47432, 3,  -0.143,  0.076,  6.797
1111519.54146, 3,  -0.168,  0.059,  6.782
1111519.60860, 3,  -0.171,  0.078,  6.759
1111519.67574, 3,  -0.175,  0.096,  6.735
1111519.74288, 3,  -0.201,  0.105,  6.806
1111519.81002, 3,  -0.197,  0.072,  6.759, 4,  -0.001, -0.000,  0.000
1111519.87716, 3,  -0.176,  0.043,  6.738, 4,   0.000, -0.000,  0.001, 5,  14.326, -7.552,-101.248
1111519.94429, 3,  -0.181,  0.069,  6.814, 4,   0.002, -0.000,  0.001, 5,  14.343, -7.803,-102.991
1111520.01143, 3,  -0.155,  0.074,  6.746, 4,  -0.000,  0.000, -0.001, 5,  13.538, -7.355,-101.860
1111520.07857, 3,  -0.174,  0.072,  6.788, 4,  -0.001,  0.000, -0.001
1111520.14571, 3,  -0.164,  0.079,  6.752, 4,  -0.000, -0.001, -0.000, 5,  14.577, -6.448,-101.613
1111520.21285, 3,  -0.158,  0.129,  6.755, 4,  -0.000, -0.001, -0.000, 5,  15.016, -7.462,-102.443
1111520.27999, 3,  -0.171,  0.060,  6.750, 4,   0.001, -0.001,  0.001, 5,  14.250, -7.092,-101.091
1111520.34713, 3,  -0.199,  0.065,  6.768, 5,  14.545, -7.065,-101.672
1111520.41426, 3,  -0.158,  0.075,  6.764, 4,   0.001, -0.002, -0.001
1111520.48140, 3,  -0.156,  0.076,  6.781, 4,  -0.000, -0.000, -0.000, 5,  13.695, -7.269,-102.168
1111520.54854, 3,  -0.139,  0.061,  6.809, 5,  14.053, -8.559,-101.180
1111520.61568, 3,  -0.185,  0.067,  6.735, 4,  -0.001, -0.000,  0.001, 5,  14.415, -7.658,-101.215
1111520.68282, 3,  -0.172,  0.074,  6.791, 4,   0.001, -0.000,  0.001, 5,  14.673, -8.173,-101.266
1111520.74996, 3,  -0.187,  0.063,  6.797
1111520.81710, 3,  -0.221,  0.064,  6.598, 4,   0.000, -0.000,  0.001, 5,  14.378, -7.825,-100.534
1111520.88424, 3,   0.245,  0.063,  6.502, 4,   0.009,  0.021,  0.001, 5,  13.766, -8.017,-101.268
1111520.95137, 3,   0.148,  0.118,  6.734, 4,   0.009,  0.018, -0.004, 5,  13.733, -7.538,-102.052
1111521.01851, 3,  -0.183,  0.095,  6.794, 4,   0.000, -0.002, -0.004, 5,  14.001, -7.268,-101.964
1111521.08565, 3,  -0.172,  0.060,  6.757, 4,   0.000, -0.001, -0.000, 5,  14.076, -7.845,-101.686
1111521.15279, 3,  -0.166,  0.103,  6.742, 4,   0.000, -0.000,  0.001, 5,  14.320, -6.830,-101.799
1111521.21993, 3,  -0.183,  0.093,  6.761, 4,  -0.000, -0.001,  0.001, 5,  14.133, -7.182,-101.855
1111521.28707, 3,  -0.173,  0.098,  6.792, 4,   0.001, -0.000,  0.001, 5,  14.163, -7.974,-102.490
1111521.35421, 3,  -0.200,  0.109,  6.719, 4,  -0.001, -0.002,  0.000, 5,  14.484, -7.271,-102.969
1111521.42134, 3,  -0.198,  0.085,  6.771, 4,  -0.000,  0.001, -0.000, 5,  15.419, -6.775,-101.904
1111521.48848, 3,  -0.190,  0.097,  6.787, 4,   0.001, -0.001, -0.000, 5,  14.984, -7.323,-102.274
