1500612168.34,18.4900000105,18.4900000105,18.4900000105,0.00460115051555,0.00459988973519,0.00225876112029
1500612168.39,18.4900685752,18.490068563,18.4900129035,0.0960464772193,0.0960136302127,0.0130805377368
1500612168.44,18.490844919,18.4908447444,18.4900905031,0.306490198693,0.306468062904,0.0238793894679
1500612168.49,18.4938478505,18.4938473732,18.4902876614,0.63103835343,0.630994487458,0.034794427719
1500612168.55,18.5015280767,18.5015266466,18.4906640885,1.0629797402,1.06285698344,0.0456267297789
1500612168.6,18.5172882006,18.5172847821,18.4912781673,1.61458550071,1.61437317806,0.0565386871104
1500612168.65,18.5453649645,18.5453581909,18.4921904837,2.27212036778,2.27197823636,0.0675104882508
1500612168.7,18.5911248786,18.5911136467,18.4934622462,3.05860129958,3.05835106213,0.0784779821106
1500612168.75,18.6600696698,18.6600517954,18.4951357432,3.9600026188,3.95960829064,0.0895596758208
1500612168.8,18.759513393,18.7594860682,18.4972767621,4.98331154948,4.98303668276,0.100637728931
1500612168.85,18.8987498022,18.8987124812,18.4999639316,6.15574944608,6.15549869277,0.11146000247
1500612168.91,19.0856675133,19.0856185767,18.5032309137,7.43080588824,7.43054645659,0.122541899621
1500612168.96,19.3319088785,19.331844439,18.5071628716,8.84702510643,8.84644087017,0.133538751983
1500612169.01,19.6458237599,19.6457363456,18.5117824853,10.3355025285,10.3349388106,0.144673369242
1500612169.06,20.0406109114,20.0404995228,18.5171722923,11.9452258131,11.9448166369,0.155440298324
1500612169.11,20.5280834343,20.527947965,18.5233738096,13.6607557156,13.660228892,0.166618559446
1500612169.16,21.1240734192,21.1239051826,18.5304934301,15.4555740791,15.4546779921,0.178079697778
1500612169.22,21.8427609686,21.8425512155,18.5385870331,17.4241457776,17.4230967823,0.189346306465
1500612169.27,22.6898440783,22.6895831988,18.5476018055,19.4742132917,19.4731775212,0.200829131632
1500612169.32,23.6982447116,23.697922603,18.5577861607,21.6470833995,21.6455034672,0.212346818143
1500612169.37,24.8715334307,24.8711298095,18.5690557243,23.9527915985,23.9508803508,0.223853105064
1500612169.42,26.2396591744,26.2391566478,18.5815764166,26.4518229546,26.4498494687,0.235426855348
1500612169.47,27.821925844,27.821308953,18.5954016483,29.0121517326,29.0095763342,0.246802093863
1500612169.53,29.6236636899,29.622901908,18.6104692781,31.7279991453,31.7250720239,0.258377607615
1500612169.58,31.6634412866,31.6625162012,18.6268287539,34.4548855538,34.4517910848,0.270024648101
1500612169.63,34.0069966304,34.0058821373,18.6448968619,37.3552258108,37.3521000834,0.281083484109
1500612169.68,36.624451986,36.6231243467,18.6643207716,40.4336308568,40.430113998,0.293696732935
1500612169.73,39.546955311,39.5453959528,18.6852277071,43.5581623214,43.5547284501,0.30523605861
1500612169.78,42.8575505887,42.8557450411,18.7080853573,46.8242216611,46.8208210791,0.31719718754
1500612169.83,46.5037358518,46.5016641009,18.7324302269,50.1378341541,50.1343606113,0.328508284353
1500612169.89,50.5487330072,50.5463756096,18.7585679819,53.5909688425,53.5881971675,0.339724596208
1500612169.94,54.9974570352,54.9948280946,18.7863960268,57.1686109071,57.1664100458,0.350767147962
1500612169.99,59.9214837577,59.9185943351,18.8162339888,60.8455157023,60.843324979,0.361517897851
1500612170.04,65.3335358585,65.3303748256,18.8480462488,64.6441571948,64.6422985966,0.373009410615
1500612170.09,71.2241746784,71.2207331597,18.8816772068,68.5227950151,68.520741807,0.383782553148
1500612170.14,77.7171296348,77.7133883398,18.9177048083,72.6142577887,72.6123286547,0.39654687256
1500612170.2,84.7526960409,84.7486117327,18.9557358485,76.8034731987,76.8002846768,0.408248088571
1500612170.25,92.3370711972,92.3325990814,18.9956756408,81.0424126601,81.0393460009,0.419947850386
1500612170.3,100.63401993,100.62915588,19.0382794418,85.4922555507,85.4902891989,0.431629217156
1500612170.35,109.659540201,109.65430007,19.0835213587,90.7908789927,90.7873036697,0.449164126127
1500612170.4,119.339507261,119.333740192,19.130889658,95.4863560769,95.4822022906,0.461143589747
1500612170.45,129.832285712,129.826078904,19.1809930562,100.205679395,100.203651118,0.471718315335
1500612170.5,141.032706675,141.026053622,19.2332799214,105.099440171,105.095086236,0.487941082461
1500612170.56,153.190341724,153.183005841,19.2889604814,110.161229064,110.153550669,0.499386777803
1500612170.61,166.127485165,166.119434967,19.3468601397,114.683587897,114.67381872,0.502138164668
1500612170.66,179.881574113,179.872348783,19.4065063706,119.273821811,119.260583283,0.507591895379
1500612170.71,194.695851916,194.685106581,19.4693174279,124.473414035,124.455428309,0.519750000455
1500612170.76,210.424326404,210.411546714,19.5345476415,129.854649127,129.834873218,0.531113412739
1500612170.81,227.056753403,227.041933065,19.6021388221,134.808990639,134.7902657,0.545660781897
1500612170.87,244.82399467,244.807158438,19.673451666,140.452164364,140.433392108,0.555145040894
1500612170.92,263.752811874,263.733827693,19.7475234056,146.215536377,146.197705505,0.563531078836
1500612170.97,283.811859596,283.790687926,19.8244173497,152.139731843,152.121051056,0.575201120249
1500612171.02,305.100481526,305.076904784,19.9045836635,158.303023857,158.284394696,0.587234446476
1500612171.07,327.652546129,327.626532127,19.987876837,164.164269262,164.146169549,0.596966714572
1500612171.12,351.523758476,351.495196623,20.0744095281,170.40295457,170.382117003,0.610409102377
1500612171.17,376.646294431,376.614768904,20.1640914553,176.642407071,176.618184062,0.623769450308
1500612171.23,403.210534455,403.175684209,20.2573191739,183.262980418,183.236526619,0.636572545745
1500612171.28,431.207540656,431.169059564,20.3540780836,189.302681533,189.273441961,0.650652121037
